,nro_conabip,fecha_fundacion,id_depto
1091,4011,2000,82105
1092,3379,1994,82133
1093,2084,1938,86049
1094,4150,1980,94007
1095,908,1920,90014
1096,1278,1925,6007
1097,4137,1980,6056
1098,1381,1907,6210
1099,861,1929,6252
1100,2923,1975,6408
1101,1874,1929,6413
1102,4368,2005,6420
1103,1483,1915,6441
1104,2767,1955,6434
1105,4262,2007,6515
1106,4199,1980,6539
1107,3968,1990,6651
1108,98,1980,6658
1109,1988,1932,6658
1110,3752,1998,6658
1111,3585,1994,6028
1112,192,1913,6756
1113,4175,1980,6371
1114,3960,1980,6371
1115,2830,1964,6371
1116,4116,2000,6763
1117,226,0,6770
1118,1921,1936,6778
1119,3475,1996,6805
1120,4129,1980,6861
1121,3560,1996,10035
1122,3542,1996,10077
1123,3493,1995,10112
1124,2996,1980,22021
1125,3003,1980,22021
1126,3459,1980,22084
1127,3458,1976,22098
1128,4313,1981,22140
1129,779,1909,22140
1130,780,1901,22140
1131,3343,1957,22140
1132,3510,1980,26007
1133,4331,2007,26021
1134,3235,1991,26077
1135,4143,1980,26077
1136,3732,1998,26077
1137,2828,1941,2000
1138,4346,2011,14007
1139,3127,1980,14014
1140,2330,1946,14091
1141,4097,1980,14098
1142,4244,2006,14105
1143,2265,1945,14140
1144,2426,1940,14140
1145,4019,2001,14091
1146,4165,1980,18021
1147,517,1914,18035
1148,3078,1986,18035
1149,1957,1936,18056
1150,2419,1948,18091
1151,1547,1931,18112
1152,3778,1980,30015
1153,370,1919,30070
1154,3943,2000,30056
1155,3776,1980,34049
1156,3387,1992,34056
1157,4172,1980,38035
1158,4267,2000,38021
1159,2137,1980,42007
1160,4270,2009,42021
1161,806,1921,42070
1162,3546,1996,42098
1163,815,1905,42098
1164,4080,2003,42105
1165,897,1921,42140
1166,2387,1943,42154
1167,901,1922,42154
1168,4187,1980,46014
1169,716,1903,46042
1170,1364,1928,50014
1171,3486,1995,50049
1172,3423,1980,50105
1173,3405,1980,54063
1174,3104,1980,58035
1175,4296,1980,58035
1176,2128,1942,62014
1177,4181,1980,62021
1178,3634,1980,62042
1179,4148,1980,62056
1180,3930,1996,62070
1181,3973,1994,66028
1182,3406,1993,70028
1183,3709,1980,74028
1184,3399,1988,74056
1185,3580,1980,78014
1186,3142,1980,78021
1187,4304,1988,78028
1188,3238,1993,82021
1189,1116,1925,82042
1190,424,1918,82028
1191,1175,1913,82042
